Username,Comment,Comment_Date,Likes,Comment_Length,Has_Typo,Slang_Presence,Sentiment,Comment_DayOfWeek,Comment_Month,Comment_Season,Words_per_Comment,Avg_Word_Length,Engagement_rate,Sentiment_Score
zdavis,Really angry with the technical support.,2024-10-03,313,6,0,0,Angry,Thursday,October,Rainy,6,5.833333333333333,52.166666666666664,-2.0
andersonmark,The customer service was satisfactory.,2025-02-27,168,5,0,0,Neutral,Thursday,February,Winter,5,6.8,33.6,0.0
wayne57,Very upsetting order tracking experience.,2024-12-17,205,5,0,1,Sad,Tuesday,December,Winter,5,7.4,41.0,-1.0
youngkimberly,A neutral feeling towards the delivery experience.,2024-08-18,280,7,0,0,Neutral,Sunday,August,Rainy,7,6.285714285714286,40.0,0.0
romerokarl,I'm disappointed with the support team.,2023-09-02,484,6,1,0,Sad,Saturday,September,Rainy,6,5.666666666666667,80.66666666666667,-1.0
ypena,Regretful experience regarding product availability.,2023-07-27,195,5,0,0,Sad,Thursday,July,Summer,5,9.6,39.0,-1.0
mayercharles,I feel sad about the app usability.,2024-12-24,409,7,0,0,Sad,Tuesday,December,Winter,7,4.142857142857143,58.42857142857143,-1.0
bsims,Very satisfied with the delivery experience!,2025-03-28,3,6,0,0,Happy,Friday,March,Spring,6,6.5,0.5,1.0
qwest,Overall pleased with the website navigation.,2024-10-12,136,6,1,0,Pleased,Saturday,October,Rainy,6,6.5,22.666666666666668,
cranescott,The customer service met my expectations.,2024-08-22,230,6,0,0,Pleased,Thursday,August,Rainy,6,6.0,38.333333333333336,
agarcia,I'm disappointed with the product availability.,2024-07-05,102,6,0,0,Sad,Friday,July,Summer,6,7.0,17.0,-1.0
mesparza,Exceptional delivery experience experience.,2024-11-16,2,4,0,0,Happy,Saturday,November,Fall,4,10.0,0.5,1.0
aperry,Can't believe how bad the support team was.,2024-07-16,201,8,0,0,Angry,Tuesday,July,Summer,8,4.5,25.125,-2.0
danielle61,Exceptional website navigation experience.,2023-07-09,131,4,0,0,Happy,Sunday,July,Summer,4,9.75,32.75,1.0
sanchezdennis,The payment process met my expectations.,2024-09-17,226,6,0,0,Pleased,Tuesday,September,Rainy,6,5.833333333333333,37.666666666666664,
darinbryan,The product availability met my expectations.,2023-05-03,290,6,0,0,Pleased,Wednesday,May,Summer,6,6.666666666666667,48.333333333333336,
johnhines,"The website navigation was okay, nothing special.",2024-12-29,138,7,0,0,Neutral,Sunday,December,Winter,7,6.142857142857143,19.714285714285715,0.0
stevenbradley,Exceptional pricing experience.,2025-03-03,259,3,0,0,Happy,Monday,March,Spring,3,9.666666666666666,86.33333333333333,1.0
howematthew,Absolutely furious about the order tracking!,2023-08-05,334,6,0,0,Angry,Saturday,August,Rainy,6,6.5,55.666666666666664,-2.0
klittle,The technical support was satisfactory.,2024-07-29,154,5,0,0,Neutral,Monday,July,Summer,5,7.0,30.8,0.0
pherrera,Very satisfied with the app usability!,2024-03-27,459,6,0,0,Happy,Wednesday,March,Spring,6,5.5,76.5,1.0
matthew88,Nice job on the delivery experience!,2024-10-26,70,6,1,0,Pleased,Saturday,October,Rainy,6,5.166666666666667,11.666666666666666,
isabella13,The app usability met my expectations.,2024-04-29,105,6,0,0,Pleased,Monday,April,Spring,6,5.5,17.5,
parkerdawn,"The product quality was okay, nothing special.",2024-03-13,206,7,0,0,Neutral,Wednesday,March,Spring,7,5.714285714285714,29.428571428571427,0.0
sotorobert,I'm disappointed with the billing issues.,2024-12-09,469,6,0,0,Sad,Monday,December,Winter,6,6.0,78.16666666666667,-1.0
johnthompson,I'm disappointed with the technical support.,2023-12-12,440,6,0,0,Sad,Tuesday,December,Winter,6,6.5,73.33333333333333,-1.0
michaelroberts,Very upsetting billing issues experience.,2023-08-26,97,5,1,0,Sad,Saturday,August,Rainy,5,7.4,19.4,-1.0
ryan52,The support team met my expectations.,2024-02-14,330,6,0,0,Pleased,Wednesday,February,Winter,6,5.333333333333333,55.0,
donaldkaufman,Regretful experience regarding support team.,2024-10-31,467,5,0,0,Sad,Thursday,October,Rainy,5,8.0,93.4,-1.0
edickson,Overall pleased with the delivery experience.,2023-12-26,9,6,0,0,Pleased,Tuesday,December,Winter,6,6.666666666666667,1.5,
jacob53,Loved the delivery experience!,2024-12-30,249,4,0,0,Happy,Monday,December,Winter,4,6.75,62.25,1.0
martintodd,Average experience with the customer service.,2024-08-24,218,6,0,0,Neutral,Saturday,August,Rainy,6,6.666666666666667,36.333333333333336,0.0
westsandra,Not what I expected from product quality.,2023-09-11,338,7,0,0,Sad,Monday,September,Rainy,7,5.0,48.285714285714285,-1.0
eashley,Overall pleased with the product availability.,2023-10-16,238,6,1,0,Pleased,Monday,October,Rainy,6,6.833333333333333,39.666666666666664,
jonathan23,Very satisfied with the billing issues!,2024-07-02,418,6,0,0,Happy,Tuesday,July,Summer,6,5.666666666666667,69.66666666666667,1.0
mporter,A neutral feeling towards the delivery experience.,2024-03-30,442,7,0,0,Neutral,Saturday,March,Spring,7,6.285714285714286,63.142857142857146,0.0
brittanycarter,The order tracking met my expectations.,2023-07-05,0,6,0,0,Pleased,Wednesday,July,Summer,6,5.666666666666667,0.0,
erin57,Terrible payment process handling.,2025-02-21,450,4,1,0,Angry,Friday,February,Winter,4,7.75,112.5,-2.0
amanda39,Neither good nor bad about customer service.,2024-11-23,484,7,1,0,Neutral,Saturday,November,Fall,7,5.428571428571429,69.14285714285714,0.0
heatherporter,Neither good nor bad about customer care.,2024-10-31,330,7,0,0,Neutral,Thursday,October,Rainy,7,5.0,47.142857142857146,0.0
daniel59,Nice job on the support team!,2024-09-10,49,6,1,0,Pleased,Tuesday,September,Rainy,6,4.0,8.166666666666666,
natasha50,I'm disappointed with the customer service.,2023-09-01,182,6,0,0,Sad,Friday,September,Rainy,6,6.333333333333333,30.333333333333332,-1.0
crystal06,Not what I expected from support team.,2025-01-06,277,7,0,0,Sad,Monday,January,Winter,7,4.571428571428571,39.57142857142857,-1.0
vjohnson,Average experience with the product quality.,2024-10-02,8,6,0,0,Neutral,Wednesday,October,Rainy,6,6.5,1.3333333333333333,0.0
tsmith,I'm disappointed with the return policy.,2024-11-05,459,6,0,0,Sad,Tuesday,November,Fall,6,5.833333333333333,76.5,-1.0
vjones,Nice job on the response time!,2024-07-31,191,6,0,0,Pleased,Wednesday,July,Summer,6,4.166666666666667,31.833333333333332,
mcconnellamanda,Neither good nor bad about app usability.,2024-10-09,292,7,0,0,Neutral,Wednesday,October,Rainy,7,5.0,41.714285714285715,0.0
melissaporter,Terrible response time handling.,2023-08-14,199,4,0,0,Angry,Monday,August,Rainy,4,7.25,49.75,-2.0
aaronmcdonald,Absolutely furious about the product availability!,2023-08-06,52,6,0,0,Angry,Sunday,August,Rainy,6,7.5,8.666666666666666,-2.0
trevinosarah,Regretful experience regarding order tracking.,2024-07-15,417,5,1,0,Sad,Monday,July,Summer,5,8.4,83.4,-1.0
guzmanjanet,Can't believe how bad the app usability was.,2023-06-03,244,8,0,0,Angry,Saturday,June,Summer,8,4.625,30.5,-2.0
vjimenez,Very upsetting technical support experience.,2023-04-29,7,5,0,0,Sad,Saturday,April,Spring,5,8.0,1.4,-1.0
jmcgee,The support team was satisfactory.,2024-08-10,149,5,0,0,Neutral,Saturday,August,Rainy,5,6.0,29.8,0.0
potterchristy,Loved the app usability!,2024-06-14,431,4,0,0,Happy,Friday,June,Summer,4,5.25,107.75,1.0
lori00,Loved the customer service!,2024-12-20,282,4,0,0,Happy,Friday,December,Winter,4,6.0,70.5,1.0
jgiles,Pretty good technical support experience.,2023-08-24,292,5,0,0,Pleased,Thursday,August,Rainy,5,7.4,58.4,
lopezjessica,Not what I expected from website navigation.,2024-05-25,367,7,0,0,Sad,Saturday,May,Summer,7,5.428571428571429,52.42857142857143,-1.0
wcarter,Not what I expected from pricing.,2023-08-15,463,6,0,1,Sad,Tuesday,August,Rainy,6,4.666666666666667,77.16666666666667,-1.0
joshua98,I'm disappointed with the support team.,2024-09-21,330,6,0,0,Sad,Saturday,September,Rainy,6,5.666666666666667,55.0,-1.0
deannamarsh,Regretful experience regarding technical support.,2024-12-26,109,5,0,0,Sad,Thursday,December,Winter,5,9.0,21.8,-1.0
odalton,Pretty good technical support experience.,2023-06-04,378,5,0,0,Pleased,Sunday,June,Summer,5,7.4,75.6,
gonzalezwilliam,Overall pleased with the payment process.,2023-09-23,208,6,0,0,Pleased,Saturday,September,Rainy,6,6.0,34.666666666666664,
conniejohnson,I'm disappointed with the product availability.,2023-08-24,47,6,0,0,Sad,Thursday,August,Rainy,6,7.0,7.833333333333333,-1.0
stacy85,Very upsetting support team experience.,2025-01-07,164,5,0,0,Sad,Tuesday,January,Winter,5,7.0,32.8,-1.0
micheal85,Very upsetting response time experience.,2025-02-04,400,5,0,0,Sad,Tuesday,February,Winter,5,7.2,80.0,-1.0
transydney,The response time was satisfactory.,2025-03-18,138,5,0,0,Neutral,Tuesday,March,Spring,5,6.2,27.6,0.0
moranmichelle,Really angry with the payment process.,2025-03-25,170,6,0,0,Angry,Tuesday,March,Spring,6,5.5,28.333333333333332,-2.0
yreyes,Very satisfied with the pricing!,2024-07-12,19,5,0,0,Happy,Friday,July,Summer,5,5.6,3.8,1.0
jeffrey81,Exceptional product availability experience.,2024-10-12,65,4,1,0,Happy,Saturday,October,Rainy,4,10.25,16.25,1.0
joelwall,Neither good nor bad about pricing.,2023-07-12,112,6,0,0,Neutral,Wednesday,July,Summer,6,5.0,18.666666666666668,0.0
michaelharvey,Can't believe how bad the payment process was.,2024-03-12,181,8,0,0,Angry,Tuesday,March,Spring,8,4.875,22.625,-2.0
averyamanda,I'm disappointed with the customer care.,2024-05-17,458,6,1,0,Sad,Friday,May,Summer,6,5.833333333333333,76.33333333333333,-1.0
fnguyen,Loved the customer care!,2023-05-04,298,4,0,0,Happy,Thursday,May,Summer,4,5.25,74.5,1.0
keykenneth,Regretful experience regarding billing issues.,2024-02-21,314,5,0,1,Sad,Wednesday,February,Winter,5,8.4,62.8,-1.0
parkerjennifer,Neither good nor bad about app usability.,2023-11-26,290,7,0,0,Neutral,Sunday,November,Fall,7,5.0,41.42857142857143,0.0
ulewis,The pricing was satisfactory.,2024-09-24,499,4,0,0,Neutral,Tuesday,September,Rainy,4,6.5,124.75,0.0
erik79,I'm disappointed with the app usability.,2025-03-31,91,6,0,0,Sad,Monday,March,Spring,6,5.833333333333333,15.166666666666666,-1.0
hallann,Very upsetting delivery experience experience.,2023-12-01,95,5,0,0,Sad,Friday,December,Winter,5,8.4,19.0,-1.0
peter53,Worst response time ever.,2023-11-18,332,4,0,0,Angry,Saturday,November,Fall,4,5.5,83.0,-2.0
qdavis,I'm disappointed with the pricing.,2024-10-10,9,5,0,0,Sad,Thursday,October,Rainy,5,6.0,1.8,-1.0
john76,Can't believe how bad the product quality was.,2024-12-12,40,8,0,0,Angry,Thursday,December,Winter,8,4.875,5.0,-2.0
hbell,Loved the billing issues!,2024-02-01,42,4,0,0,Happy,Thursday,February,Winter,4,5.5,10.5,1.0
gregorymorales,I feel sad about the product availability.,2024-01-15,211,7,1,0,Sad,Monday,January,Winter,7,5.142857142857143,30.142857142857142,-1.0
jonesamanda,Exceptional response time experience.,2024-12-09,402,4,1,0,Happy,Monday,December,Winter,4,8.5,100.5,1.0
rodriguezkevin,Not what I expected from product quality.,2023-09-11,173,7,0,0,Sad,Monday,September,Rainy,7,5.0,24.714285714285715,-1.0
hmyers,The customer service was satisfactory.,2023-07-25,55,5,0,0,Neutral,Tuesday,July,Summer,5,6.8,11.0,0.0
ulopez,Nice job on the customer care!,2025-04-22,367,6,0,1,Pleased,Tuesday,April,Spring,6,4.166666666666667,61.166666666666664,
ddawson,Wonderful experience regarding app usability.,2024-12-13,22,5,0,0,Happy,Friday,December,Winter,5,8.2,4.4,1.0
colson,Nice job on the app usability!,2023-11-11,354,6,0,0,Pleased,Saturday,November,Fall,6,4.166666666666667,59.0,
adamsgregory,The order tracking met my expectations.,2025-01-10,436,6,0,0,Pleased,Friday,January,Winter,6,5.666666666666667,72.66666666666667,
kenneththompson,I'm quite pleased with the response time.,2023-12-15,299,7,0,0,Pleased,Friday,December,Winter,7,5.0,42.714285714285715,
andersonjason,I am extremely happy with the customer service.,2024-09-24,207,8,0,0,Happy,Tuesday,September,Rainy,8,5.0,25.875,1.0
dustinsmith,The payment process was satisfactory.,2023-12-20,140,5,0,0,Neutral,Wednesday,December,Winter,5,6.6,28.0,0.0
spierce,Wonderful experience regarding support team.,2024-12-13,432,5,0,0,Happy,Friday,December,Winter,5,8.0,86.4,1.0
garciacheryl,Not what I expected from delivery experience.,2024-02-16,66,7,0,0,Sad,Friday,February,Winter,7,5.571428571428571,9.428571428571429,-1.0
nathansanchez,Terrible customer service handling.,2023-08-24,166,4,0,0,Angry,Thursday,August,Rainy,4,8.0,41.5,-2.0
kyork,A neutral feeling towards the customer care.,2024-01-21,179,7,0,0,Neutral,Sunday,January,Winter,7,5.428571428571429,25.571428571428573,0.0
ljuarez,Regretful experience regarding customer service.,2024-03-12,145,5,0,0,Sad,Tuesday,March,Spring,5,8.8,29.0,-1.0
swilliams,Worst customer care ever.,2025-03-17,368,4,1,0,Angry,Monday,March,Spring,4,5.5,92.0,-2.0
thernandez,I'm disappointed with the return policy.,2023-07-13,206,6,1,0,Sad,Thursday,July,Summer,6,5.833333333333333,34.333333333333336,-1.0
mterry,Pretty good order tracking experience.,2024-07-19,395,5,0,0,Pleased,Friday,July,Summer,5,6.8,79.0,
chadpeters,Can't believe how bad the product quality was.,2025-01-28,162,8,0,0,Angry,Tuesday,January,Winter,8,4.875,20.25,-2.0
elizabethgilmore,Exceptional customer care experience.,2024-07-16,368,4,0,0,Happy,Tuesday,July,Summer,4,8.5,92.0,1.0
vargaskatie,Loved the customer service!,2024-04-28,353,4,0,0,Happy,Sunday,April,Spring,4,6.0,88.25,1.0
cmiller,I'm quite pleased with the technical support.,2023-12-09,464,7,0,0,Pleased,Saturday,December,Winter,7,5.571428571428571,66.28571428571429,
gharris,I'm disappointed with the support team.,2025-01-12,485,6,0,0,Sad,Sunday,January,Winter,6,5.666666666666667,80.83333333333333,-1.0
linda97,I'm quite pleased with the payment process.,2024-01-10,25,7,0,0,Pleased,Wednesday,January,Winter,7,5.285714285714286,3.5714285714285716,
thomaslisa,Very upsetting payment process experience.,2025-01-09,88,5,0,0,Sad,Thursday,January,Winter,5,7.6,17.6,-1.0
olivia80,Very upsetting payment process experience.,2024-07-30,252,5,0,0,Sad,Tuesday,July,Summer,5,7.6,50.4,-1.0
rojasmichael,I'm quite pleased with the technical support.,2023-12-19,37,7,0,0,Pleased,Tuesday,December,Winter,7,5.571428571428571,5.285714285714286,
johnsonnatalie,"The product availability was okay, nothing special.",2023-11-23,432,7,0,0,Neutral,Thursday,November,Fall,7,6.428571428571429,61.714285714285715,0.0
jhutchinson,Pretty good customer service experience.,2024-06-28,483,5,0,0,Pleased,Friday,June,Summer,5,7.2,96.6,
sheltongerald,I am extremely happy with the billing issues.,2023-06-24,340,8,0,0,Happy,Saturday,June,Summer,8,4.75,42.5,1.0
jessicalee,Regretful experience regarding support team.,2023-07-16,466,5,1,0,Sad,Sunday,July,Summer,5,8.0,93.2,-1.0
garnercarlos,Very satisfied with the customer service!,2025-01-25,272,6,0,0,Happy,Saturday,January,Winter,6,6.0,45.333333333333336,1.0
angelabrown,Worst customer service ever.,2025-02-22,84,4,0,0,Angry,Saturday,February,Winter,4,6.25,21.0,-2.0
timothybaker,Regretful experience regarding technical support.,2023-12-17,462,5,0,0,Sad,Sunday,December,Winter,5,9.0,92.4,-1.0
amanda25,Overall pleased with the billing issues.,2025-01-19,156,6,0,0,Pleased,Sunday,January,Winter,6,5.833333333333333,26.0,
kristieestrada,Loved the technical support!,2025-04-09,277,4,0,0,Happy,Wednesday,April,Spring,4,6.25,69.25,1.0
deborahmartinez,Neither good nor bad about billing issues.,2023-09-27,113,7,0,0,Neutral,Wednesday,September,Rainy,7,5.142857142857143,16.142857142857142,0.0
cruzashlee,The customer care was satisfactory.,2024-07-15,390,5,1,0,Neutral,Monday,July,Summer,5,6.2,78.0,0.0
alan69,"The customer service was okay, nothing special.",2024-01-19,94,7,1,0,Neutral,Friday,January,Winter,7,5.857142857142857,13.428571428571429,0.0
kimberly90,Worst billing issues ever.,2024-02-26,432,4,0,0,Angry,Monday,February,Winter,4,5.75,108.0,-2.0
nicole24,Very satisfied with the pricing!,2024-06-21,409,5,0,0,Happy,Friday,June,Summer,5,5.6,81.8,1.0
asimmons,I feel sad about the response time.,2024-08-18,168,7,0,0,Sad,Sunday,August,Rainy,7,4.142857142857143,24.0,-1.0
lsosa,I'm quite pleased with the product availability.,2024-04-12,463,7,0,0,Pleased,Friday,April,Spring,7,6.0,66.14285714285714,
daniel52,Regretful experience regarding product quality.,2023-10-08,465,5,0,0,Sad,Sunday,October,Rainy,5,8.6,93.0,-1.0
matthewsaunders,Neither good nor bad about payment process.,2025-03-16,395,7,0,0,Neutral,Sunday,March,Spring,7,5.285714285714286,56.42857142857143,0.0
rebecca06,Wonderful experience regarding technical support.,2024-07-09,462,5,0,0,Happy,Tuesday,July,Summer,5,9.0,92.4,1.0
aprilgreen,Very satisfied with the technical support!,2023-07-11,96,6,0,0,Happy,Tuesday,July,Summer,6,6.166666666666667,16.0,1.0
megan50,The support team was satisfactory.,2024-04-10,243,5,0,0,Neutral,Wednesday,April,Spring,5,6.0,48.6,0.0
jonathanhines,Average experience with the product quality.,2024-05-19,322,6,0,0,Neutral,Sunday,May,Summer,6,6.5,53.666666666666664,0.0
zjohnson,Can't believe how bad the support team was.,2023-10-07,88,8,0,0,Angry,Saturday,October,Rainy,8,4.5,11.0,-2.0
foxjohn,The billing issues met my expectations.,2025-04-20,252,6,0,0,Pleased,Sunday,April,Spring,6,5.666666666666667,42.0,
marypowers,The order tracking met my expectations.,2024-05-01,193,6,0,0,Pleased,Wednesday,May,Summer,6,5.666666666666667,32.166666666666664,
kevingarner,"The product quality was okay, nothing special.",2024-03-30,405,7,0,0,Neutral,Saturday,March,Spring,7,5.714285714285714,57.857142857142854,0.0
joneschristopher,Exceptional app usability experience.,2024-12-20,181,4,1,0,Happy,Friday,December,Winter,4,8.5,45.25,1.0
cjames,I'm disappointed with the product availability.,2024-07-20,128,6,0,0,Sad,Saturday,July,Summer,6,7.0,21.333333333333332,-1.0
kmurphy,Neither good nor bad about support team.,2024-08-26,196,7,0,0,Neutral,Monday,August,Rainy,7,4.857142857142857,28.0,0.0
