Username,Comment,Comment_Date,Likes,Comment_Length,Has_Typo,Slang_Presence,Sentiment,Comment_DayOfWeek,Comment_Month,Comment_Season,Words_per_Comment,Avg_Word_Length,Engagement_rate,Sentiment_Score,Sentiment_Score_Noisy
robert79,Neither good nro bad aboutp roduct quality.,2023-11-15,262,7,0,0,Neutral,Wednesday,November,Fall,7,5.285714285714286,37.42857142857143,0.0,0.0
curtis41,The delivery experience met ym expecttaions.,2023-08-03,312,6,0,0,Pleased,Thursday,August,Rainy,6,6.5,52.0,,
davisdonald,"hTe order trackin gwas okay, nothing special.",2024-11-14,102,7,0,0,Neutral,Thursday,November,Fall,7,5.571428571428571,14.571428571428571,0.0,0.0
udyer,Worstr esponse time ever.,2024-11-21,337,4,0,0,Angry,Thursday,November,Fall,4,5.5,84.25,-2.0,-2.0
porterthomas,The billing issues met my epxectations.,2024-08-03,25,6,0,0,Pleased,Saturday,August,Rainy,6,5.666666666666667,4.166666666666667,,
mathewsmith,Overall pleased wtih hte technical support.,2023-04-29,67,6,0,0,Pleased,Saturday,April,Spring,6,6.333333333333333,11.166666666666666,,
mwilliams,Neither good nor bad about pricing.,2023-10-13,209,6,0,0,Neutral,Friday,October,Rainy,6,5.0,34.833333333333336,0.0,0.0
ogarza,Not what I exepcted form payment process.,2025-01-14,424,7,0,0,Sad,Tuesday,January,Winter,7,5.0,60.57142857142857,-1.0,-1.0
ylove,Nice jbo on the delivery experience!,2023-11-08,143,6,0,0,Pleased,Wednesday,November,Fall,6,5.166666666666667,23.83333333333333,,
pamela33,I fee lsad about the support team.,2024-09-09,184,7,0,0,Sad,Monday,September,Rainy,7,4.0,26.285714285714285,-1.0,-1.0
psolomon,Not whta I expected fromd elivery experience.,2025-04-27,204,7,0,0,Sad,Sunday,April,Spring,7,5.571428571428571,29.142857142857142,-1.0,-1.0
cole43,Regretful experience regarding website navigation.,2023-06-11,359,5,0,0,Sad,Sunday,June,Summer,5,9.2,71.8,-1.0,-1.0
tammy02,Exceptional custmoer care experience.,2024-07-07,299,4,0,0,Happy,Sunday,July,Summer,4,8.5,74.75,1.0,1.0
ebonyreed,Ca'nt believe how bad the product availabilityw as.,2023-12-03,479,8,0,0,Angry,Sunday,December,Winter,8,5.5,59.875,-2.0,-2.0
bjones,Regretful experience regardin gproudct availability.,2024-07-04,495,5,0,0,Sad,Thursday,July,Summer,5,9.6,99.0,-1.0,-1.0
derek80,Averagee xperience with the pricing.,2025-01-02,493,5,0,0,Neutral,Thursday,January,Winter,5,6.4,98.6,0.0,-1.0
ashley01,I am xetremely happy wit hthe delivery experience.,2023-08-24,233,8,0,0,Happy,Thursday,August,Rainy,8,5.375,29.125,1.0,1.0
danielhorton,Exceptional produc tavailability exeprience.,2024-10-26,193,4,0,0,Happy,Saturday,October,Rainy,4,10.25,48.25,1.0,1.0
paulhowe,Not what I expected from website navigaotin.,2024-08-28,144,7,0,0,Sad,Wednesday,August,Rainy,7,5.428571428571429,20.571428571428573,-1.0,-1.0
natasha74,Can't believe how bad teh billing isuses was.,2024-11-03,383,8,0,0,Angry,Sunday,November,Fall,8,4.75,47.875,-2.0,-2.0
christopher85,Nice job on hte technical support!,2024-10-30,17,6,0,0,Pleased,Wednesday,October,Rainy,6,4.833333333333333,2.833333333333333,,
david80,Ovrelal pleased with the payment process.,2024-10-03,176,6,0,0,Pleased,Thursday,October,Rainy,6,6.0,29.33333333333333,,
sharonpowers,Exceptional oredr tracking experience.,2023-05-12,495,4,0,0,Happy,Friday,May,Summer,4,8.75,123.75,1.0,1.0
bcallahan,Reall yangry with hte technical support.,2024-11-12,94,6,0,0,Angry,Tuesday,November,Fall,6,5.833333333333333,15.666666666666666,-2.0,-2.0
manuelkaiser,I am etxremelyh appy w/ the customer care.,2023-07-18,336,8,0,0,Happy,Tuesday,July,Summer,8,4.625,42.0,1.0,1.0
joseph57,Wonderful experiecne regrading payment process.,2023-06-04,32,5,0,1,Happy,Sunday,June,Summer,5,8.6,6.4,1.0,1.0
ericdickson,Loved the retunr policy!,2024-09-29,369,4,0,0,Happy,Sunday,September,Rainy,4,5.25,92.25,1.0,1.0
palmercharlene,Wonderful experience reagrding billing issues.,2023-11-06,146,5,0,0,Happy,Monday,November,Fall,5,8.4,29.2,1.0,1.0
garrettandrew,Lovedt he billing issues!,2024-07-03,414,4,0,1,Happy,Wednesday,July,Summer,4,5.5,103.5,1.0,1.0
sboyd,I'm quite pleased withh te product availability.,2024-12-24,238,7,0,0,Pleased,Tuesday,December,Winter,7,6.0,34.0,,
danielhancock,Average expereinc ewith the response time.,2024-08-22,374,6,0,0,Neutral,Thursday,August,Rainy,6,6.166666666666667,62.333333333333336,0.0,0.0
maxwellbryan,Nice job on the paymen tprocess!,2023-08-29,463,6,0,0,Pleased,Tuesday,August,Rainy,6,4.5,77.16666666666667,,
paulsalazar,Veryu psetting technical support experienec.,2025-04-20,301,5,0,0,Sad,Sunday,April,Spring,5,8.0,60.2,-1.0,-1.0
morenodonna,Wonderful experience regarding respons eitme.,2023-05-10,295,5,0,0,Happy,Wednesday,May,Summer,5,8.2,59.0,1.0,1.0
josephandrews,Overall plaesed with the order trakcing.,2024-05-23,137,6,1,0,Pleased,Thursday,May,Summer,6,5.833333333333333,22.83333333333333,,
dthompson,I'm disappionte dwith the response time.,2024-11-29,151,6,0,0,Sad,Friday,November,Fall,6,5.833333333333333,25.166666666666668,-1.0,-1.0
jacobmccarty,Nice job on th epayment process!,2024-06-07,445,6,0,0,Pleased,Friday,June,Summer,6,4.5,74.16666666666667,,
robert17,Nice job on hte return policy!,2025-03-17,115,6,0,0,Pleased,Monday,March,Spring,6,4.166666666666667,19.166666666666668,,
charlesmeredith,Neither good nor abd about support etam.,2023-05-08,71,7,0,0,Neutral,Monday,May,Summer,7,4.857142857142857,10.142857142857142,0.0,0.0
alexanderbryant,Not what I expceted from delivery experienc.e,2024-03-26,323,7,0,0,Sad,Tuesday,March,Spring,7,5.571428571428571,46.142857142857146,-1.0,-1.0
latoyafrank,Notw hat I expected rfom product availability.,2024-05-08,313,7,0,0,Sad,Wednesday,May,Summer,7,5.714285714285714,44.71428571428572,-1.0,-1.0
gary73,Rergetful expeirence regarding customer care.,2025-04-18,236,5,0,1,Sad,Friday,April,Spring,5,8.2,47.2,-1.0,-1.0
lynn02,Very satisfied w/ hte order tracking!,2024-02-01,20,6,0,0,Happy,Thursday,February,Winter,6,5.666666666666667,3.333333333333333,1.0,-2.0
vwagner,Exceptional custoemr servcie experience.,2025-04-22,301,4,0,0,Happy,Tuesday,April,Spring,4,9.25,75.25,1.0,1.0
larry98,Realyl angry w/ the customer care.,2024-01-05,311,6,1,0,Angry,Friday,January,Winter,6,5.166666666666667,51.833333333333336,-2.0,-2.0
alexanderdaniels,The customer acre was satisfactory.,2023-12-21,233,5,0,0,Neutral,Thursday,December,Winter,5,6.2,46.6,0.0,0.0
crystaljimenez,"The support team waso kay, nothing sepcial.",2023-10-28,296,7,0,0,Neutral,Saturday,October,Rainy,7,5.285714285714286,42.285714285714285,0.0,0.0
stephen97,Very satisfie dwith the support team!,2024-09-23,244,6,1,0,Happy,Monday,September,Rainy,6,5.333333333333333,40.66666666666666,1.0,1.0
kbond,Really angry w/ the customer acre.,2023-10-15,184,6,0,0,Angry,Sunday,October,Rainy,6,5.166666666666667,30.666666666666668,-2.0,-2.0
pamelabell,The product availability emt my expectatinos.,2024-02-10,361,6,0,0,Pleased,Saturday,February,Winter,6,6.666666666666667,60.16666666666666,,
vsimon,Absolutel yfurious about the iblling issues!,2024-04-14,317,6,0,0,Angry,Sunday,April,Spring,6,6.5,52.833333333333336,-2.0,-2.0
rebecca95,Average experienec with the pricing.,2023-10-25,18,5,0,0,Neutral,Wednesday,October,Rainy,5,6.4,3.6,0.0,1.0
krausesarah,Really agnry w/ the order tracking.,2023-05-16,439,6,0,0,Angry,Tuesday,May,Summer,6,5.333333333333333,73.16666666666667,-2.0,-2.0
daisyreeves,Terribl esupport team handling.,2023-10-01,249,4,0,0,Angry,Sunday,October,Rainy,4,7.0,62.25,-2.0,-2.0
zdavis,Really angry with the technical suopprt.,2024-10-03,313,6,0,0,Angry,Thursday,October,Rainy,6,5.833333333333333,52.16666666666666,-2.0,-2.0
andersonmark,The customer serivce was satisfactory.,2025-02-27,168,5,0,0,Neutral,Thursday,February,Winter,5,6.8,33.6,0.0,1.0
wayne57,Very upsetting order trackign experiecne.,2024-12-17,205,5,0,1,Sad,Tuesday,December,Winter,5,7.4,41.0,-1.0,2.0
youngkimberly,A neutral feeling towardst he deliver yexperience.,2024-08-18,280,7,0,0,Neutral,Sunday,August,Rainy,7,6.285714285714286,40.0,0.0,0.0
romerokarl,I'm disappointed with teh support team.,2023-09-02,484,6,1,0,Sad,Saturday,September,Rainy,6,5.666666666666667,80.66666666666667,-1.0,-1.0
ypena,Regretfu lexpeirence regarding product availability.,2023-07-27,195,5,0,0,Sad,Thursday,July,Summer,5,9.6,39.0,-1.0,-1.0
mayercharles,I feel sad about the app usabiliyt.,2024-12-24,409,7,0,0,Sad,Tuesday,December,Winter,7,4.142857142857143,58.42857142857143,-1.0,-1.0
bsims,Very astisfied with the deliver yexperience!,2025-03-28,3,6,0,0,Happy,Friday,March,Spring,6,6.5,0.5,1.0,1.0
qwest,Ovearllp leased w/ the website navigation.,2024-10-12,136,6,1,0,Pleased,Saturday,October,Rainy,6,6.5,22.666666666666668,,
cranescott,The custoerm service met my expectations.,2024-08-22,230,6,0,0,Pleased,Thursday,August,Rainy,6,6.0,38.333333333333336,,
agarcia,I'm disappointed with the porduct availabiltiy.,2024-07-05,102,6,0,0,Sad,Friday,July,Summer,6,7.0,17.0,-1.0,-1.0
mesparza,Excetpional delivery experience experinece.,2024-11-16,2,4,0,0,Happy,Saturday,November,Fall,4,10.0,0.5,1.0,1.0
aperry,Can't believe how bad the support team was.,2024-07-16,201,8,0,0,Angry,Tuesday,July,Summer,8,4.5,25.125,-2.0,-2.0
danielle61,Exceptional website navigatio nexperiecne.,2023-07-09,131,4,0,0,Happy,Sunday,July,Summer,4,9.75,32.75,1.0,1.0
sanchezdennis,The payment procses met my expecttaions.,2024-09-17,226,6,0,0,Pleased,Tuesday,September,Rainy,6,5.833333333333333,37.66666666666666,,
darinbryan,hTe product availability met my expcetations.,2023-05-03,290,6,0,0,Pleased,Wednesday,May,Summer,6,6.666666666666667,48.333333333333336,,
johnhines,"The website navigation was okay, nothing spceila.",2024-12-29,138,7,0,0,Neutral,Sunday,December,Winter,7,6.142857142857143,19.714285714285715,0.0,0.0
stevenbradley,Excpetional pricing experience.,2025-03-03,259,3,0,0,Happy,Monday,March,Spring,3,9.666666666666666,86.33333333333333,1.0,1.0
howematthew,Absolutely furiou sabout the ordert racking!,2023-08-05,334,6,0,0,Angry,Saturday,August,Rainy,6,6.5,55.66666666666666,-2.0,-2.0
klittle,The technical supportw as satisfactory.,2024-07-29,154,5,0,0,Neutral,Monday,July,Summer,5,7.0,30.8,0.0,0.0
pherrera,Very saitsfied w/ the app usability!,2024-03-27,459,6,0,0,Happy,Wednesday,March,Spring,6,5.5,76.5,1.0,1.0
matthew88,Nice job on the deilvery experience!,2024-10-26,70,6,1,0,Pleased,Saturday,October,Rainy,6,5.166666666666667,11.666666666666666,,
isabella13,The app usability met my exepctations.,2024-04-29,105,6,0,0,Pleased,Monday,April,Spring,6,5.5,17.5,,
parkerdawn,"The produc tquality was okay,n othing special.",2024-03-13,206,7,0,0,Neutral,Wednesday,March,Spring,7,5.714285714285714,29.428571428571427,0.0,0.0
sotorobert,'Im disappointedw ith the billing issues.,2024-12-09,469,6,0,0,Sad,Monday,December,Winter,6,6.0,78.16666666666667,-1.0,-1.0
johnthompson,I'm disapponited with the techniacl support.,2023-12-12,440,6,0,0,Sad,Tuesday,December,Winter,6,6.5,73.33333333333333,-1.0,-1.0
michaelroberts,Very uspetting billing issues exeprience.,2023-08-26,97,5,1,0,Sad,Saturday,August,Rainy,5,7.4,19.4,-1.0,-1.0
ryan52,The support team me tmy expectations.,2024-02-14,330,6,0,0,Pleased,Wednesday,February,Winter,6,5.333333333333333,55.0,,
donaldkaufman,Regretful experience regarding spuport taem.,2024-10-31,467,5,0,0,Sad,Thursday,October,Rainy,5,8.0,93.4,-1.0,-1.0
edickson,Overall pleaesd with the delivery expeirence.,2023-12-26,9,6,0,0,Pleased,Tuesday,December,Winter,6,6.666666666666667,1.5,,
jacob53,Love dthe delivery experience!,2024-12-30,249,4,0,0,Happy,Monday,December,Winter,4,6.75,62.25,1.0,1.0
martintodd,Average exeprience witht he customer service.,2024-08-24,218,6,0,0,Neutral,Saturday,August,Rainy,6,6.666666666666667,36.333333333333336,0.0,-2.0
westsandra,Not what I expected from product aqulity.,2023-09-11,338,7,0,0,Sad,Monday,September,Rainy,7,5.0,48.285714285714285,-1.0,-1.0
eashley,vOerall pleased with the product availbaility.,2023-10-16,238,6,1,0,Pleased,Monday,October,Rainy,6,6.833333333333333,39.66666666666666,,
jonathan23,Very satisfied with hte billing issues!,2024-07-02,418,6,0,0,Happy,Tuesday,July,Summer,6,5.666666666666667,69.66666666666667,1.0,1.0
mporter,An eutral feeling towards the dleivery experience.,2024-03-30,442,7,0,0,Neutral,Saturday,March,Spring,7,6.285714285714286,63.142857142857146,0.0,0.0
brittanycarter,The ordre tracking met my expectations.,2023-07-05,0,6,0,0,Pleased,Wednesday,July,Summer,6,5.666666666666667,0.0,,
erin57,Terrible payment proces shandling.,2025-02-21,450,4,1,0,Angry,Friday,February,Winter,4,7.75,112.5,-2.0,-2.0
amanda39,Neither good no rba dabout customer service.,2024-11-23,484,7,1,0,Neutral,Saturday,November,Fall,7,5.428571428571429,69.14285714285714,0.0,0.0
heatherporter,Neihter good no rbad about customer care.,2024-10-31,330,7,0,0,Neutral,Thursday,October,Rainy,7,5.0,47.142857142857146,0.0,0.0
daniel59,Nice job on the support team!,2024-09-10,49,6,1,0,Pleased,Tuesday,September,Rainy,6,4.0,8.166666666666666,,
natasha50,I'm disappointed with the customer service.,2023-09-01,182,6,0,0,Sad,Friday,September,Rainy,6,6.333333333333333,30.33333333333333,-1.0,-1.0
crystal06,Not what I expected from suppor tteam.,2025-01-06,277,7,0,0,Sad,Monday,January,Winter,7,4.571428571428571,39.57142857142857,-1.0,-1.0
vjohnson,Avergae experience with the produc tquality.,2024-10-02,8,6,0,0,Neutral,Wednesday,October,Rainy,6,6.5,1.3333333333333333,0.0,-1.0
tsmith,I'm disappointed w/ the return policy.,2024-11-05,459,6,0,0,Sad,Tuesday,November,Fall,6,5.833333333333333,76.5,-1.0,-1.0
vjones,Nice job on the resposne time!,2024-07-31,191,6,0,0,Pleased,Wednesday,July,Summer,6,4.166666666666667,31.83333333333333,,
mcconnellamanda,Neither good nor bad about appu sabliity.,2024-10-09,292,7,0,0,Neutral,Wednesday,October,Rainy,7,5.0,41.71428571428572,0.0,0.0
melissaporter,Terrilbe response time handling.,2023-08-14,199,4,0,0,Angry,Monday,August,Rainy,4,7.25,49.75,-2.0,-2.0
aaronmcdonald,Absolutely furiosu about the prodcut availability!,2023-08-06,52,6,0,0,Angry,Sunday,August,Rainy,6,7.5,8.666666666666666,-2.0,-2.0
trevinosarah,Regretful experience regardnig order tarcking.,2024-07-15,417,5,1,0,Sad,Monday,July,Summer,5,8.4,83.4,-1.0,-1.0
guzmanjanet,Can't believeh ow bad the app usabliity was.,2023-06-03,244,8,0,0,Angry,Saturday,June,Summer,8,4.625,30.5,-2.0,-2.0
vjimenez,Very upsettign techincal support experience.,2023-04-29,7,5,0,0,Sad,Saturday,April,Spring,5,8.0,1.4,-1.0,-1.0
jmcgee,The support team was satifsactory.,2024-08-10,149,5,0,0,Neutral,Saturday,August,Rainy,5,6.0,29.8,0.0,0.0
potterchristy,Loved the app usabiliyt!,2024-06-14,431,4,0,0,Happy,Friday,June,Summer,4,5.25,107.75,1.0,1.0
lori00,Loved the customer srevice!,2024-12-20,282,4,0,0,Happy,Friday,December,Winter,4,6.0,70.5,1.0,1.0
jgiles,Pretty good technical spupor texperience.,2023-08-24,292,5,0,0,Pleased,Thursday,August,Rainy,5,7.4,58.4,,
lopezjessica,Not what I expected from webiste anvigation.,2024-05-25,367,7,0,0,Sad,Saturday,May,Summer,7,5.428571428571429,52.42857142857143,-1.0,0.0
wcarter,Not wha tI expected from pricing.,2023-08-15,463,6,0,1,Sad,Tuesday,August,Rainy,6,4.666666666666667,77.16666666666667,-1.0,-1.0
joshua98,I'm disappointe dwith the support team.,2024-09-21,330,6,0,0,Sad,Saturday,September,Rainy,6,5.666666666666667,55.0,-1.0,-1.0
deannamarsh,Regrteful expeirence regarding technical support.,2024-12-26,109,5,0,0,Sad,Thursday,December,Winter,5,9.0,21.8,-1.0,-1.0
odalton,Pertty good technicals upport experience.,2023-06-04,378,5,0,0,Pleased,Sunday,June,Summer,5,7.4,75.6,,
gonzalezwilliam,Overall pleased with the payment prcoses.,2023-09-23,208,6,0,0,Pleased,Saturday,September,Rainy,6,6.0,34.666666666666664,,
conniejohnson,I'm disappointde with the product avaliability.,2023-08-24,47,6,0,0,Sad,Thursday,August,Rainy,6,7.0,7.833333333333333,-1.0,-1.0
stacy85,Very upsettings upport team experience.,2025-01-07,164,5,0,0,Sad,Tuesday,January,Winter,5,7.0,32.8,-1.0,-1.0
micheal85,eVryu psetting response time experience.,2025-02-04,400,5,0,0,Sad,Tuesday,February,Winter,5,7.2,80.0,-1.0,-1.0
transydney,Ther esponse time was satisfactory.,2025-03-18,138,5,0,0,Neutral,Tuesday,March,Spring,5,6.2,27.6,0.0,0.0
moranmichelle,Really angry wtih the payment process.,2025-03-25,170,6,0,0,Angry,Tuesday,March,Spring,6,5.5,28.33333333333333,-2.0,-2.0
yreyes,Veyr satisfied w/ the pricing!,2024-07-12,19,5,0,0,Happy,Friday,July,Summer,5,5.6,3.8,1.0,1.0
jeffrey81,Execptional product aavilability experience.,2024-10-12,65,4,1,0,Happy,Saturday,October,Rainy,4,10.25,16.25,1.0,1.0
joelwall,Neitehr good nor bad about pricing.,2023-07-12,112,6,0,0,Neutral,Wednesday,July,Summer,6,5.0,18.666666666666668,0.0,0.0
michaelharvey,Can't believe hwo bad the paymen tprocess was.,2024-03-12,181,8,0,0,Angry,Tuesday,March,Spring,8,4.875,22.625,-2.0,-2.0
averyamanda,I'm disappointed iwth the custoemr care.,2024-05-17,458,6,1,0,Sad,Friday,May,Summer,6,5.833333333333333,76.33333333333333,-1.0,-1.0
fnguyen,Loved hte customer care!,2023-05-04,298,4,0,0,Happy,Thursday,May,Summer,4,5.25,74.5,1.0,1.0
keykenneth,Regretfu lexperience regarding bililng issues.,2024-02-21,314,5,0,1,Sad,Wednesday,February,Winter,5,8.4,62.8,-1.0,-1.0
parkerjennifer,Neither good nor bad about app usability.,2023-11-26,290,7,0,0,Neutral,Sunday,November,Fall,7,5.0,41.42857142857143,0.0,0.0
ulewis,The pricing wass atisfactory.,2024-09-24,499,4,0,0,Neutral,Tuesday,September,Rainy,4,6.5,124.75,0.0,0.0
erik79,I'm disappointe dwith the app suability.,2025-03-31,91,6,0,0,Sad,Monday,March,Spring,6,5.833333333333333,15.166666666666666,-1.0,-1.0
hallann,Very upsettign delivery exeprience experience.,2023-12-01,95,5,0,0,Sad,Friday,December,Winter,5,8.4,19.0,-1.0,-1.0
peter53,Worts response time ever.,2023-11-18,332,4,0,0,Angry,Saturday,November,Fall,4,5.5,83.0,-2.0,-2.0
qdavis,I'm diasppointed with the pricing.,2024-10-10,9,5,0,0,Sad,Thursday,October,Rainy,5,6.0,1.8,-1.0,-1.0
john76,Can't believe how bad the porduct quality aws.,2024-12-12,40,8,0,0,Angry,Thursday,December,Winter,8,4.875,5.0,-2.0,-2.0
hbell,Loved the bliling issues!,2024-02-01,42,4,0,0,Happy,Thursday,February,Winter,4,5.5,10.5,1.0,1.0
gregorymorales,I feel sad about the produ ctavailability.,2024-01-15,211,7,1,0,Sad,Monday,January,Winter,7,5.142857142857143,30.142857142857142,-1.0,-1.0
jonesamanda,Exceptional response time expreience.,2024-12-09,402,4,1,0,Happy,Monday,December,Winter,4,8.5,100.5,1.0,1.0
rodriguezkevin,Notw hta I expected from product quality.,2023-09-11,173,7,0,0,Sad,Monday,September,Rainy,7,5.0,24.714285714285715,-1.0,-1.0
hmyers,Thec ustomer service was satisfactory.,2023-07-25,55,5,0,0,Neutral,Tuesday,July,Summer,5,6.8,11.0,0.0,0.0
ulopez,Nice job on hte customer care!,2025-04-22,367,6,0,1,Pleased,Tuesday,April,Spring,6,4.166666666666667,61.16666666666666,,
ddawson,Wonderufl experience ergarding app usability.,2024-12-13,22,5,0,0,Happy,Friday,December,Winter,5,8.2,4.4,1.0,1.0
colson,Nice jo bon the app usability!,2023-11-11,354,6,0,0,Pleased,Saturday,November,Fall,6,4.166666666666667,59.0,,
adamsgregory,The order trcaking met my expectations.,2025-01-10,436,6,0,0,Pleased,Friday,January,Winter,6,5.666666666666667,72.66666666666667,,
kenneththompson,I'm quite plaesed w/ the respons etime.,2023-12-15,299,7,0,0,Pleased,Friday,December,Winter,7,5.0,42.71428571428572,,
andersonjason,I am extermely happy w/ th ecustomer service.,2024-09-24,207,8,0,0,Happy,Tuesday,September,Rainy,8,5.0,25.875,1.0,1.0
dustinsmith,The payment process was satsifactory.,2023-12-20,140,5,0,0,Neutral,Wednesday,December,Winter,5,6.6,28.0,0.0,0.0
spierce,Wonderful epxeriecne regarding support team.,2024-12-13,432,5,0,0,Happy,Friday,December,Winter,5,8.0,86.4,1.0,1.0
garciacheryl,Not what I expetced from delievry experience.,2024-02-16,66,7,0,0,Sad,Friday,February,Winter,7,5.571428571428571,9.428571428571429,-1.0,-1.0
nathansanchez,Terrbile customer service handling.,2023-08-24,166,4,0,0,Angry,Thursday,August,Rainy,4,8.0,41.5,-2.0,-2.0
kyork,A neutral feeling towards th ecustoemr care.,2024-01-21,179,7,0,0,Neutral,Sunday,January,Winter,7,5.428571428571429,25.571428571428573,0.0,0.0
ljuarez,Regertufl experience regarding customer service.,2024-03-12,145,5,0,0,Sad,Tuesday,March,Spring,5,8.8,29.0,-1.0,-1.0
swilliams,Worst customer care veer.,2025-03-17,368,4,1,0,Angry,Monday,March,Spring,4,5.5,92.0,-2.0,-2.0
thernandez,'Im disappointed with the return ploicy.,2023-07-13,206,6,1,0,Sad,Thursday,July,Summer,6,5.833333333333333,34.333333333333336,-1.0,-1.0
mterry,Prett ygood order tracking experience.,2024-07-19,395,5,0,0,Pleased,Friday,July,Summer,5,6.8,79.0,,
chadpeters,Can't belivee hwo bad the product quality was.,2025-01-28,162,8,0,0,Angry,Tuesday,January,Winter,8,4.875,20.25,-2.0,-2.0
elizabethgilmore,Exceptional customer care xeperience.,2024-07-16,368,4,0,0,Happy,Tuesday,July,Summer,4,8.5,92.0,1.0,1.0
vargaskatie,Loved the custoemr service!,2024-04-28,353,4,0,0,Happy,Sunday,April,Spring,4,6.0,88.25,1.0,1.0
cmiller,I'm quite plesaed with the tecnhical support.,2023-12-09,464,7,0,0,Pleased,Saturday,December,Winter,7,5.571428571428571,66.28571428571429,,
gharris,I'm disappointed with thes upport team.,2025-01-12,485,6,0,0,Sad,Sunday,January,Winter,6,5.666666666666667,80.83333333333333,-1.0,-1.0
linda97,I'mq uite lpeased with the payment process.,2024-01-10,25,7,0,0,Pleased,Wednesday,January,Winter,7,5.285714285714286,3.571428571428572,,
thomaslisa,eVry upsetting payment porcess experience.,2025-01-09,88,5,0,0,Sad,Thursday,January,Winter,5,7.6,17.6,-1.0,-1.0
olivia80,Very upsetting pyament porcess experience.,2024-07-30,252,5,0,0,Sad,Tuesday,July,Summer,5,7.6,50.4,-1.0,-1.0
rojasmichael,I'm quite pleased iwth the tehcnical support.,2023-12-19,37,7,0,0,Pleased,Tuesday,December,Winter,7,5.571428571428571,5.285714285714286,,
johnsonnatalie,"The product availability wa sokay, nothing sepcial.",2023-11-23,432,7,0,0,Neutral,Thursday,November,Fall,7,6.428571428571429,61.71428571428572,0.0,0.0
jhutchinson,Pretty good customer service exeprinece.,2024-06-28,483,5,0,0,Pleased,Friday,June,Summer,5,7.2,96.6,,
sheltongerald,I am extrmeeyl happy with the billing issues.,2023-06-24,340,8,0,0,Happy,Saturday,June,Summer,8,4.75,42.5,1.0,1.0
jessicalee,Regretful expreienec regarding support team.,2023-07-16,466,5,1,0,Sad,Sunday,July,Summer,5,8.0,93.2,-1.0,-1.0
garnercarlos,Ver ysatisfied with the customer servcie!,2025-01-25,272,6,0,0,Happy,Saturday,January,Winter,6,6.0,45.333333333333336,1.0,1.0
angelabrown,Worst customer service veer.,2025-02-22,84,4,0,0,Angry,Saturday,February,Winter,4,6.25,21.0,-2.0,-2.0
timothybaker,Regertful experience regarding tecnhical support.,2023-12-17,462,5,0,0,Sad,Sunday,December,Winter,5,9.0,92.4,-1.0,-1.0
amanda25,Ovearll pleased witht he billing issues.,2025-01-19,156,6,0,0,Pleased,Sunday,January,Winter,6,5.833333333333333,26.0,,
kristieestrada,Lvoed the technical support!,2025-04-09,277,4,0,0,Happy,Wednesday,April,Spring,4,6.25,69.25,1.0,1.0
deborahmartinez,Neither good nor bad about bililng isuses.,2023-09-27,113,7,0,0,Neutral,Wednesday,September,Rainy,7,5.142857142857143,16.142857142857142,0.0,0.0
cruzashlee,The customer care was satisfactoyr.,2024-07-15,390,5,1,0,Neutral,Monday,July,Summer,5,6.2,78.0,0.0,0.0
